scenario,worker_concurrency,repetition,run_id,candidatures,notes,echecs,secondes_total,debit_cv_par_minute,cout_usd,cout_par_cv_usd,appels_llm,appels_llm_en_erreur,extract_moyenne_s,profile_moyenne_s,score_moyenne_s,memoire_pic_mo,memoire_moyenne_mo,documents_distincts,repetition_corpus,statut
mixed,8,1,bd31cb6c-1b89-4e0c-91c4-71e75094b315,100,100,0,185.1,32.41,1.153608,0.011536,200,0,0.063,6.403,5.498,2680.9,2679.2,100,1.0,termine
hr-50,2,1,3b7dc86b-6e7b-48c6-b766-2fc0014fb870,50,50,0,301.1,9.96,0.585302,0.011706,100,0,0.043,6.263,5.498,933.0,932.7,50,1.0,termine
hr-50,2,2,75c9fcd0-66c6-4039-bd6c-4b7875889a27,50,50,0,303.09,9.9,0.573769,0.011475,102,0,0.043,6.493,5.456,931.6,931.3,50,1.0,termine
hr-50,2,3,9c33dcc8-adb4-408f-b702-d99e12d2ad15,50,50,0,311.58,9.63,0.57824,0.011565,100,0,0.041,6.935,5.287,931.4,931.2,50,1.0,termine
hr-50,4,1,99e2e95d-dea9-4042-a603-b134d74237f8,50,50,0,149.8,20.03,0.580746,0.011615,100,0,0.055,6.787,4.79,1487.6,1487.1,50,1.0,termine
hr-50,4,2,9e3afa1f-d5c9-4dd3-9e02-69bcb49d9e22,50,50,0,160.17,18.73,0.58274,0.011655,101,0,0.047,7.019,5.062,1486.1,1485.2,50,1.0,termine
hr-50,4,3,fe30e191-9cbd-4229-bd4c-002d51aa3e42,50,50,0,156.2,19.21,0.555403,0.011108,100,0,0.046,7.185,4.65,1482.1,1481.2,50,1.0,termine
hr-50,8,1,4ef5ac1e-bbc2-425d-9b00-c74f90220492,50,50,0,94.83,31.64,0.567788,0.011356,101,0,0.11,6.921,5.048,2604.9,2601.7,50,1.0,termine
hr-50,8,2,1fc89efb-17f0-4442-9343-67e12b46425a,50,50,0,96.81,30.99,0.573656,0.011473,101,0,0.069,7.426,4.673,2596.3,2594.5,50,1.0,termine
hr-50,8,3,4cfa47b4-66dc-444f-a56f-17e8e1f4094e,50,50,0,92.78,32.33,0.563887,0.011278,101,0,0.073,6.617,4.651,2603.5,2601.2,50,1.0,termine
hr-100,4,1,1fff680c-8a7b-4af6-979f-98e3279a92e4,100,100,0,300.24,19.98,1.155656,0.011557,202,0,0.047,6.659,5.085,1533.6,1533.1,100,1.0,termine
hr-500,8,1,d807e31e-1be8-4a6b-b3f7-a45251ab3385,500,500,0,990.12,30.3,5.656794,0.011314,1003,0,0.068,5.717,5.232,2926.6,2910.8,180,2.78,termine
