candidate_file,strate,score_ref_0_100,must_have_ok,annotateur,date
cv-001.pdf,excellent,94,oui,generateur-v1 (verite de construction),2026-09-22
cv-002.docx,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-003.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-004.docx,limite,39,oui,generateur-v1 (verite de construction),2026-09-22
cv-005.pdf,limite,32,oui,generateur-v1 (verite de construction),2026-09-22
cv-006.docx,bon,68,oui,generateur-v1 (verite de construction),2026-09-22
cv-007.pdf,bon,73,oui,generateur-v1 (verite de construction),2026-09-22
cv-008.docx,limite,48,oui,generateur-v1 (verite de construction),2026-09-22
cv-009.pdf,bon,75,oui,generateur-v1 (verite de construction),2026-09-22
cv-010.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-011.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-012.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-013.pdf,limite,32,oui,generateur-v1 (verite de construction),2026-09-22
cv-014.docx,limite,37,oui,generateur-v1 (verite de construction),2026-09-22
cv-015.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-016.docx,excellent,94,oui,generateur-v1 (verite de construction),2026-09-22
cv-017.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-018.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-019.pdf,bon,67,oui,generateur-v1 (verite de construction),2026-09-22
cv-020.docx,bon,70,oui,generateur-v1 (verite de construction),2026-09-22
cv-021.pdf,bon,75,oui,generateur-v1 (verite de construction),2026-09-22
cv-022.docx,bon,69,oui,generateur-v1 (verite de construction),2026-09-22
cv-023.pdf,bon,63,oui,generateur-v1 (verite de construction),2026-09-22
cv-024.docx,bon,69,oui,generateur-v1 (verite de construction),2026-09-22
cv-025.pdf,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-026.docx,bon,68,oui,generateur-v1 (verite de construction),2026-09-22
cv-027.pdf,excellent,97,oui,generateur-v1 (verite de construction),2026-09-22
cv-028.docx,excellent,89,oui,generateur-v1 (verite de construction),2026-09-22
cv-029.pdf,limite,48,oui,generateur-v1 (verite de construction),2026-09-22
cv-030.docx,bon,73,oui,generateur-v1 (verite de construction),2026-09-22
cv-031.pdf,excellent,92,oui,generateur-v1 (verite de construction),2026-09-22
cv-032.docx,limite,39,oui,generateur-v1 (verite de construction),2026-09-22
cv-033.pdf,limite,42,oui,generateur-v1 (verite de construction),2026-09-22
cv-034.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-035.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-036.docx,limite,43,oui,generateur-v1 (verite de construction),2026-09-22
cv-037.pdf,limite,31,oui,generateur-v1 (verite de construction),2026-09-22
cv-038.docx,excellent,97,oui,generateur-v1 (verite de construction),2026-09-22
cv-039.pdf,bon,68,oui,generateur-v1 (verite de construction),2026-09-22
cv-040.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-041.pdf,bon,69,oui,generateur-v1 (verite de construction),2026-09-22
cv-042.docx,limite,39,oui,generateur-v1 (verite de construction),2026-09-22
cv-043.pdf,limite,44,oui,generateur-v1 (verite de construction),2026-09-22
cv-044.docx,limite,44,oui,generateur-v1 (verite de construction),2026-09-22
cv-045.pdf,excellent,92,oui,generateur-v1 (verite de construction),2026-09-22
cv-046.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-047.pdf,excellent,97,oui,generateur-v1 (verite de construction),2026-09-22
cv-048.docx,bon,62,oui,generateur-v1 (verite de construction),2026-09-22
cv-049.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-050.docx,bon,70,oui,generateur-v1 (verite de construction),2026-09-22
cv-051.pdf,excellent,97,oui,generateur-v1 (verite de construction),2026-09-22
cv-052.docx,limite,46,oui,generateur-v1 (verite de construction),2026-09-22
cv-053.pdf,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-054.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-055.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-056.docx,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-057.pdf,limite,41,oui,generateur-v1 (verite de construction),2026-09-22
cv-058.docx,excellent,92,oui,generateur-v1 (verite de construction),2026-09-22
cv-059.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-060.docx,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
