candidate_file,strate,score_ref_0_100,must_have_ok,annotateur,date
cv-001.pdf,excellent,93,oui,generateur-v1 (verite de construction),2026-09-22
cv-002.docx,excellent,98,oui,generateur-v1 (verite de construction),2026-09-22
cv-003.pdf,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-004.docx,limite,42,oui,generateur-v1 (verite de construction),2026-09-22
cv-005.pdf,bon,78,oui,generateur-v1 (verite de construction),2026-09-22
cv-006.docx,bon,67,oui,generateur-v1 (verite de construction),2026-09-22
cv-007.pdf,bon,72,oui,generateur-v1 (verite de construction),2026-09-22
cv-008.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-009.pdf,limite,43,oui,generateur-v1 (verite de construction),2026-09-22
cv-010.docx,bon,75,oui,generateur-v1 (verite de construction),2026-09-22
cv-011.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-012.docx,limite,43,oui,generateur-v1 (verite de construction),2026-09-22
cv-013.pdf,bon,72,oui,generateur-v1 (verite de construction),2026-09-22
cv-014.docx,excellent,93,oui,generateur-v1 (verite de construction),2026-09-22
cv-015.pdf,limite,35,oui,generateur-v1 (verite de construction),2026-09-22
cv-016.docx,limite,35,oui,generateur-v1 (verite de construction),2026-09-22
cv-017.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-018.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-019.pdf,excellent,94,oui,generateur-v1 (verite de construction),2026-09-22
cv-020.docx,excellent,94,oui,generateur-v1 (verite de construction),2026-09-22
cv-021.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-022.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-023.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-024.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-025.pdf,excellent,98,oui,generateur-v1 (verite de construction),2026-09-22
cv-026.docx,limite,40,oui,generateur-v1 (verite de construction),2026-09-22
cv-027.pdf,limite,29,oui,generateur-v1 (verite de construction),2026-09-22
cv-028.docx,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-029.pdf,limite,45,oui,generateur-v1 (verite de construction),2026-09-22
cv-030.docx,bon,68,oui,generateur-v1 (verite de construction),2026-09-22
cv-031.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-032.docx,limite,42,oui,generateur-v1 (verite de construction),2026-09-22
cv-033.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-034.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-035.pdf,limite,32,oui,generateur-v1 (verite de construction),2026-09-22
cv-036.docx,excellent,93,oui,generateur-v1 (verite de construction),2026-09-22
cv-037.pdf,bon,69,oui,generateur-v1 (verite de construction),2026-09-22
cv-038.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-039.pdf,limite,51,oui,generateur-v1 (verite de construction),2026-09-22
cv-040.docx,excellent,98,oui,generateur-v1 (verite de construction),2026-09-22
cv-041.pdf,limite,48,oui,generateur-v1 (verite de construction),2026-09-22
cv-042.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-043.pdf,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
cv-044.docx,bon,60,oui,generateur-v1 (verite de construction),2026-09-22
cv-045.pdf,bon,75,oui,generateur-v1 (verite de construction),2026-09-22
cv-046.docx,bon,65,oui,generateur-v1 (verite de construction),2026-09-22
cv-047.pdf,bon,63,oui,generateur-v1 (verite de construction),2026-09-22
cv-048.docx,excellent,95,oui,generateur-v1 (verite de construction),2026-09-22
cv-049.pdf,limite,38,oui,generateur-v1 (verite de construction),2026-09-22
cv-050.docx,excellent,92,oui,generateur-v1 (verite de construction),2026-09-22
cv-051.pdf,limite,38,oui,generateur-v1 (verite de construction),2026-09-22
cv-052.docx,excellent,93,oui,generateur-v1 (verite de construction),2026-09-22
cv-053.pdf,bon,63,oui,generateur-v1 (verite de construction),2026-09-22
cv-054.docx,excellent,98,oui,generateur-v1 (verite de construction),2026-09-22
cv-055.pdf,bon,66,oui,generateur-v1 (verite de construction),2026-09-22
cv-056.docx,bon,73,oui,generateur-v1 (verite de construction),2026-09-22
cv-057.pdf,bon,74,oui,generateur-v1 (verite de construction),2026-09-22
cv-058.docx,excellent,92,oui,generateur-v1 (verite de construction),2026-09-22
cv-059.pdf,limite,39,oui,generateur-v1 (verite de construction),2026-09-22
cv-060.docx,hors_profil,0,non,generateur-v1 (verite de construction),2026-09-22
